FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
01/01/2010 00:00:00,HUILA,PITALITO,Viernes,04:00:00 PM,SUCRE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,19,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,HUILA,PITALITO,Viernes,06:30:00 PM,-,URBANA,CASAS DE HABITACION,CONTUNDENTES,29,FEMENINO,CASADO,AMA DE CASA,PRIMARIA
01/01/2010 00:00:00,HUILA,RIVERA,Viernes,08:00:00 PM,LA FLORESTA,URBANA,CASAS DE HABITACION,NO REPORTADO,7,MASCULINO,SOLTERO,ESTUDIANTE,PRIMARIA
01/01/2010 00:00:00,HUILA,RIVERA,Viernes,08:00:00 PM,LA FLORESTA,URBANA,CASAS DE HABITACION,NO REPORTADO,10,MASCULINO,SOLTERO,ESTUDIANTE,PRIMARIA
01/01/2010 00:00:00,HUILA,RIVERA,Viernes,08:00:00 PM,LA FLORESTA,URBANA,CASAS DE HABITACION,NO REPORTADO,,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,PRIMARIA
01/01/2010 00:00:00,HUILA,SALADOBLANCO,Viernes,05:30:00 AM,VEREDA LA PRIMAVERA,RURAL,CASAS DE HABITACION,CONTUNDENTES,34,FEMENINO,UNION LIBRE,AGRICULTOR,PRIMARIA
12/05/2010 00:00:00,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,07:00:00 PM,SIERRA MORENA E-19,URBANA,CASAS DE HABITACION,CONTUNDENTES,19,FEMENINO,UNION LIBRE,NO REPORTA,SECUNDARIA
01/01/2010 00:00:00,HUILA,TERUEL,Viernes,10:00:00 AM,SAN ROQUE,URBANA,CASAS DE HABITACION,CONTUNDENTES,35,MASCULINO,UNION LIBRE,INDEPENDIENTE,PRIMARIA
01/01/2010 00:00:00,MAGDALENA,EL BANCO,Viernes,10:00:00 AM,10 DE JULIO,URBANA,VIAS PUBLICAS,CONTUNDENTES,19,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,MAGDALENA,SANTA MARTA (CT),Viernes,05:00:00 AM,SAN FRANCISCO,URBANA,CASAS DE HABITACION,CONTUNDENTES,40,FEMENINO,SOLTERO,AMA DE CASA,SECUNDARIA
01/01/2010 00:00:00,MAGDALENA,SANTA MARTA (CT),Viernes,01:45:00 PM,MARIA EUGENIA,URBANA,VIAS PUBLICAS,CONTUNDENTES,30,MASCULINO,UNION LIBRE,INDEPENDIENTE,SECUNDARIA
01/01/2010 00:00:00,MAGDALENA,SANTA MARTA (CT),Viernes,03:30:00 PM,BAVARIA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,15,FEMENINO,SOLTERO,ESTUDIANTE,SECUNDARIA
