FECHA,DEPARTAMENTO,MuNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,EDAD,SEXO,ESTADO CIVIL,CLASE DE EMPLEADO,ESCOLARIDAD
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,08:00:00 AM,ALTO JORDAN E18,URBANA,VIAS PUBLICAS,CONTUNDENTES,57,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,08:00:00 AM,EL TREBOL E8,URBANA,CASAS DE HABITACION,CONTUNDENTES,69,FEMENINO,CASADO,INDEPENDIENTE,PRIMARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,08:00:00 AM,VISTAHERMOSA E1,URBANA,VIAS PUBLICAS,CONTUNDENTES,62,MASCULINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,09:30:00 AM,JOSE M. MARROQUIN II E14,URBANA,VIAS PUBLICAS,CONTUNDENTES,55,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,09:30:00 AM,JOSE M. MARROQUIN II E14,URBANA,VIAS PUBLICAS,NO REPORTADO,55,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,10:00:00 AM,ALFONSO B. ARAGON E14,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,28,MASCULINO,CASADO,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,01:00:00 PM,SAN CAYETANO E3,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,13,FEMENINO,SOLTERO,ESTUDIANTE,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,02:00:00 PM,EL RETIRO E15,URBANA,VIAS PUBLICAS,CONTUNDENTES,28,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,05:00:00 PM,ALIRIO MORA BELTRAN E14,URBANA,CASAS DE HABITACION,CONTUNDENTES,27,FEMENINO,CASADO,AMA DE CASA,PRIMARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,06:00:00 PM,POPULAR E4,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,18,FEMENINO,SOLTERO,INDEPENDIENTE,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,07:00:00 PM,LOS GUAYACANES E5,URBANA,VIAS PUBLICAS,CORTANTES,25,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,08:00:00 PM,PRADOS DE ORIENTE E11,URBANA,VIAS PUBLICAS,CONTUNDENTES,29,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CALI (CT),Lunes,11:30:00 PM,LOS COMUNEROS II E13,URBANA,CASAS DE HABITACION,CONTUNDENTES,26,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,SECUNDARIA
01/03/2011 00:00:00,VALLE,CARTAGO,Lunes,08:40:00 AM,GUAYACANES,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,32,FEMENINO,UNION LIBRE,AMA DE CASA,PRIMARIA
01/03/2011 00:00:00,VALLE,CARTAGO,Lunes,09:40:00 AM,LA INDEPENDENCIA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,35,FEMENINO,UNION LIBRE,AMA DE CASA,SECUNDARIA
01/03/2011 00:00:00,VALLE,CARTAGO,Lunes,01:00:00 PM,SAUCES,URBANA,VIAS PUBLICAS,CONTUNDENTES,22,FEMENINO,UNION LIBRE,EMPLEADO PARTICULAR,SECUNDARIA
